Institution Reference Number,Institution Name,Address Line 1,Address Line 2,Address Line 3,Town,County,Postcode,Telephone,Management,Type,Status,Date Closed,Email,
306-6551,Braidside Integrated Primary School ,87 FRY'S ROAD,,,BALLYMENA,ANTRIM,BT43 7EN,028 2564 7899,Grant Maintained Integrated,Primary,Open,,info@braidsideintegratedps.ballymena.ni.sch.uk,
306-6561,Corran Integrated Primary School ,BLACKCAVE NORTH,OLD GLENARM ROAD,,LARNE,ANTRIM,BT40 1TP,028 2827 3455,Grant Maintained Integrated,Primary,Open,,info@corranintegratedps.larne.ni.sch.uk,
306-6568,Acorn Integrated Primary School ,110 VICTORIA ROAD,,,CARRICKFERGUS,ANTRIM,BT38 7JL,028 9336 0115,Grant Maintained Integrated,Primary,Open,,info@acornintegratedps.carrickfergus.ni.sch.uk,
306-6613,Spires Integrated Primary School ,84 MONEYMORE ROAD,,,MAGHERAFELT,LONDONDERRY,BT45 6HH,028 7963 1014,Grant Maintained Integrated,Primary,Open,,info@spiresips.mfelt.ni.sch.uk,
306-6652,Maine Integrated Primary School ,93 PORTGLENONE ROAD,,,RANDALSTOWN,ANTRIM,BT41 3EH,028 9447 8766,Grant Maintained Integrated,Primary,Open,,info@maineips.randalstown.ni.sch.uk,
311-0037,Ballymena Nursery School,TROSTAN AVENUE,THE DEMESNE,,BALLYMENA,ANTRIM,BT43 7BL,028 2565 2011,Controlled,Nursery,Open,,info@ballymenans.ballymena.ni.sch.uk,
311-6034,Ballymoney Nursery School,NORTH ROAD,,,BALLYMONEY,ANTRIM,BT53 6BW,028 2766 4367,Controlled,Nursery,Open,,info@ballymoneyns.ballymoney.ni.sch.uk,
311-6150,Sunnylands Nursery School,SUNNYLANDS AVENUE,,,CARRICKFERGUS,ANTRIM,BT38 8JJ,028 9336 5739,Controlled,Nursery,Open,,info@sunnylandsns.carrickfergus.ni.sch.uk,
311-6162,Mossley Nursery School,2A HAZELBURN ROAD,MOSSLEY,,NEWTOWNABBEY,ANTRIM,BT36 5NA,028 9083 5549,Controlled,Nursery,Open,,info@mossleyns.newtownabbey.ni.sch.uk,
311-6165,Dunclug Nursery School,95 DOURY ROAD,DUNCLUG,,BALLYMENA,ANTRIM,BT43 6SU,028 2564 4286,Controlled,Nursery,Open,,info@dunclugns.ballymena.ni.sch.uk,
311-6166,Ballyhenry Nursery School,GLENVARNA COURT,,,NEWTOWNABBEY,ANTRIM,BT36 5JD,028 9083 3884,Controlled,Nursery,Open,,info@ballyhenryns.glengormley.ni.sch.uk,
311-6167,Steeple Nursery School,STEEPLE ROAD,,,ANTRIM,ANTRIM,BT41 1AF,028 9446 4151,Controlled,Nursery,Open,,info@steeplens.antrim.ni.sch.uk,
311-6177,Magherafelt Nursery School,32A Castledawson Road,,,MAGHERAFELT,LONDONDERRY,BT45 6PA,028 7963 2981,Controlled,Nursery,Open,,info@magherafeltns.magherafelt.ni.sch.uk,
311-6214,Ashgrove Nursery School,57 ASHGROVE ROAD,CARNMONEY,,NEWTOWNABBEY,ANTRIM,BT36 6LJ,028 9084 3178,Controlled,Nursery,Open,,info@ashgrovens.carnmoney.ni.sch.uk,
311-6215,Kylemore Nursery School,KYLEMORE ROAD,,,COLERAINE,LONDONDERRY,BT51 3HG,028 7034 4893,Controlled,Nursery,Open,,info@kylemorens.coleraine.ni.sch.uk,
311-6219,Monkstown Nursery School,JENNINGS PARK,,,NEWTOWNABBEY,ANTRIM,BT37 0NB,028 9086 1459,Controlled,Nursery,Open,,info@monkstownns.monkstown.ni.sch.uk,
311-6220,Ballyclare Nursery School,GRANGE DRIVE,,,BALLYCLARE,ANTRIM,BT39 9EY,028 9335 2982,Controlled,Nursery,Open,,info@ballyclarens.ballyclare.ni.sch.uk,
311-6263,Ballysally Nursery School,BALLYSALLY LANE,BALLYSALLY ESTATE,,COLERAINE,LONDONDERRY,BT52 2QA,028 7035 4787,Controlled,Nursery,Open,,info@ballysallyns.coleraine.ni.sch.uk,
313-6183,St Joseph's Nursery School,52 GREYSTONE ROAD,,,ANTRIM,ANTRIM,BT41 1JZ,028 9446 2437,Roman Catholic Maintained,Nursery,Open,,info@stjosephsns.antrim.ni.sch.uk,
313-6332,St Anthony's Nursery School,43 FAIRWAY,ANTIVILLE; CRAIGYHILL,,LARNE,ANTRIM,BT40 2BG,028 2827 8645,Roman Catholic Maintained,Nursery,Open,,info@stanthonysns.larne.ni.sch.uk,
321-0035,Magherafelt High School,30 MONEYMORE ROAD,,,MAGHERAFELT,LONDONDERRY,BT45 6AF,028 7963 2385,Controlled,Secondary,Open,,info@magherafelthigh.magherafelt.ni.sch.uk,
321-0038,Larne High School,20 SALLAGH PARK,,,LARNE,ANTRIM,BT40 1NT,028 2827 2159,Controlled,Secondary,Open,,info@larnehs.larne.ni.sch.uk,
321-0124,Ballycastle High School,33 RATHLIN ROAD,,,BALLYCASTLE,ANTRIM,BT54 6LD,028 2076 2254,Controlled,Secondary,Open,,info@ballycastlehigh.ballycastle.ni.sch.uk,
321-0133,Ballymoney High School,17 GARRYDUFF ROAD,,,BALLYMONEY,ANTRIM,BT53 7AN,028 2766 2361,Controlled,Secondary,Open,,info@ballymoneyhigh.ballymoney.ni.sch.uk,
321-0134,Ballyclare Secondary School,19 DOAGH ROAD,,,BALLYCLARE,ANTRIM,BT39 9BG,028 93322610,Controlled,Secondary,Open,,info@ballyclaresec.ballyclare.ni.sch.uk,
321-0172,Cullybackey College,44 POTTINGER STREET,CULLYBACKEY,,BALLYMENA,ANTRIM,BT42 1BP,028 2588 0771,Controlled,Secondary,Open,,info@cullybackeycollege.ballymena.ni.sch.uk,
321-0202,Glengormley High School,134 BALLYCLARE ROAD,,,NEWTOWNABBEY,ANTRIM,BT36 5HP,028 9083 7223,Controlled,Secondary,Open,,info@glengormleyhigh.newtownabbey.ni.sch.uk,
321-0208,Dunclug College,DOURY ROAD,,,BALLYMENA,ANTRIM,BT43 6SU,028 2565 3665,Controlled,Secondary,Open,,info@dunclugcollege.ballymena.ni.sch.uk,
321-0222,Dunluce School,16 DUNLUCE ROAD,,,BUSHMILLS,ANTRIM,BT57 8QQ,028 2073 1448,Controlled,Secondary,Open,,info@dunluce.bushmills.ni.sch.uk,
321-0300,Coleraine College,14 CARTHALL ROAD,,,COLERAINE,LONDONDERRY,BT51 3LR,028 7035 7000,Controlled,Secondary,Open,,info@colerainecollege.coleraine.ni.sch.uk,
321-0313,Abbey Community College ,Bridge Road,Monkstown,,NEWTOWNABBEY,ANTRIM,BT37 0EA,9086 7431/9086 7432,Controlled,Secondary,Open,,info@abbeycommunitycollege.newtownabbey.ni.sch.uk,
321-0323,Carrickfergus Academy ,110 North Road ,Carrickfergus,,CARRICKFERGUS,ANTRIM,BT38 7QX,028 9336 2347,Controlled,Secondary,Open,,info@carrickfergusacademy.carrickfergus.ni.sch.uk,
323-0075,Our Lady of Lourdes High School,CASTLE STREET,,,BALLYMONEY,ANTRIM,BT53 6JX,028 2766 2050,Roman Catholic Maintained,Secondary,Open,,info@lourdeshigh.ballymoney.ni.sch.uk,
323-0084,St Patrick's College,BROUGHSHANE ROAD,,,BALLYMENA,ANTRIM,BT43 7DZ,028 25645059,Roman Catholic Maintained,Secondary,Open,,info@stpatricks.ballymena.ni.sch.uk,
323-0132,St Colm's High School Draperstown,2 MAGHERAFELT ROAD,DRAPERSTOWN,,DRAPERSTOWN,LONDONDERRY,BT45 7AF,028 7962 8377,Roman Catholic Maintained,Secondary,Open,,info@stcolmshigh.draperstown.ni.sch.uk,
323-0168,St Pius X College,59 MONEYMORE ROAD,,,MAGHERAFELT,LONDONDERRY,BT45 6HQ,028 7963 2186,Roman Catholic Maintained,Secondary,Open,,info@stpiusx.magherafelt.ni.sch.uk,
323-0203,Edmund Rice College,96-100 HIGHTOWN ROAD,,,NEWTOWNABBEY,ANTRIM,BT36 7AU,028 9084 8433,Roman Catholic Maintained,Secondary,Open,,info@edmundricecollege.glengormley.ni.sch.uk,
323-0227,Cross and Passion College,10 MOYLE ROAD,,,BALLYCASTLE,ANTRIM,BT54 6LA,028 2076 2473,Roman Catholic Maintained,Secondary,Open,,info@crossandpassion.ballycastle.ni.sch.uk,
323-0234,St Patrick's College; Maghera,25 COLERAINE ROAD,,,MAGHERA,LONDONDERRY,BT46 5BN,028 7964 2451,Roman Catholic Maintained,Secondary,Open,,info@stpatricks.maghera.ni.sch.uk,
323-0308,St Benedict's College,5 CRAIGSTOWN ROAD,RANDALSTOWN,,RANDALSTOWN,ANTRIM,BT41 2AF,028 94472411,Roman Catholic Maintained,Secondary,Open,,info@stbenedicts.randalstown.ni.sch.uk,
323-0310,ST KILLIAN'S COLLEGE,25 TOWER ROAD,CARNLOUGH,,BALLYMENA,ANTRIM,BT44 0JS,028 2888 5202,Roman Catholic Maintained,Secondary,Open,,info@stkillians.carnlough.ni.sch.uk,
323-0318,St Conor's College,230 Mayogall Road ,Clady,Ballymena ,PORTGLENONE,ANTRIM,BT44 8NN,028 2954 0536,Roman Catholic Maintained,Secondary,Open,,info@saintconorscollege.clady.ni.sch.uk,
325-0149,Crumlin Integrated College,10 GLENAVY ROAD,,,CRUMLIN,ANTRIM,BT29 4LA,028 9445 2497,Controlled Integrated,Secondary,Open,,info@cic.crumlin.ni.sch.uk,
325-0207,Parkhall Integrated College,STEEPLE ROAD,,,ANTRIM,ANTRIM,BT41 1AF,028 9446 2963,Controlled Integrated,Secondary,Open,,info@parkhallintegratedcollege.antrim.ni.sch.uk,
326-0289,Slemish College,147A LARNE ROAD,,,BALLYMENA,ANTRIM,BT42 3HA,028 2563 0156,Grant Maintained Integrated,Secondary,Open,,info@slemish.ballymena.ni.sch.uk,
326-0290,North Coast Integrated College,21 CLOYFIN ROAD,,,COLERAINE,LONDONDERRY,BT52 2NU,028 7032 9026,Grant Maintained Integrated,Secondary,Open,,info@ncic.coleraine.ni.sch.uk,
326-0299,Ulidia Integrated College,112 VICTORA ROAD,,,CARRICKFERGUS,ANTRIM,BT38 7JL,028 93358500,Grant Maintained Integrated,Secondary,Open,,info@ulidia.carrickfergus.ni.sch.uk,
326-0303,Sperrin Integrated College,39 POUND ROAD,,,MAGHERAFELT,LONDONDERRY,BT45 6NR,028 79634177,Grant Maintained Integrated,Secondary,Open,,info@sperrin.magherafelt.ni.sch.uk,
331-0018,Rosstulla Special School,2-12 JORDONSTOWN ROAD,,,NEWTOWNABBEY,ANTRIM,BT37 0QF,028 9086 2743,Controlled,Special,Open,,info@rosstullass.newtownabbey.ni.sch.uk,
331-6510,Hill Croft Special School,3 MANSE WAY,,,NEWTOWNABBEY,ANTRIM,BT36 5UW,028 9083 7488,Controlled,Special,Open,,info@hillcroftsp.newtownabbey.ni.sch.uk,
331-6512,Sandelford Special School,4 RUGBY AVENUE,,,COLERAINE,LONDONDERRY,BT52 1JL,028 7034 3062,Controlled,Special,Open,,info@sandelfordss.coleraine.ni.sch.uk,
331-6514,Roddensvale Special School,THE RODDENS,,,LARNE,ANTRIM,BT40 1PU,028 2827 2802,Controlled,Special,Open,,info@roddensvaless.larne.ni.sch.uk,
331-6547,Thornfield House School,2-12 JORDANSTOWN ROAD,,,NEWTOWNABBEY,ANTRIM,BT37 0QF,028 9086 5968,Controlled,Special,Open,,info@thornfieldss.newtownabbey.ni.sch.uk,
331-6570,Kilronan Special School,46 KILRONAN ROAD,,,MAGHERAFELT,LONDONDERRY,BT45 6EN,028 7963 2168,Controlled,Special,Open,,info@kilronanss.magherafelt.ni.sch.uk,
331-6609,Riverside Special School,FENNEL ROAD,,,ANTRIM,ANTRIM,BT41 4PB,028 9442 8946,Controlled,Special,Open,,info@riversidess.antrim.ni.sch.uk,
331-6676,Castletower School ,50 Larne Road Link;,,,BALLYMENA,ANTRIM,BT42 3GA,028 25633400,Controlled,Special,Open,,info@castletower.ballymena.ni.sch.uk,
334-0002,Jordanstown Special School,85 JORDANSTOWN ROAD,,,NEWTOWNABBEY,ANTRIM,BT37 0QE,028 9086 3541,Other Maintained,Special,Open,,info@jordanstownss.newtownabbey.ni.sch.uk,
341-0008,Ballyclare High School,31 RASHEE ROAD,,,BALLYCLARE,ANTRIM,BT39 9HJ,028 9332 2244,Controlled,Grammar,Open,,info@ballyclarehigh.ballyclare.ni.sch.uk,
341-0098,Carrickfergus Grammar School,120 NORTH ROAD,,,CARRICKFERGUS,ANTRIM,BT38 7RA,028 9336 3615,Controlled,Grammar,Open,,info@carrickfergusgrammar.carrickfergus.ni.sch.uk,
341-0209,Antrim Grammar School,10 STEEPLE ROAD,,,ANTRIM,ANTRIM,BT41 1AF,028 9446 4091,Controlled,Grammar,Open,,info@antrimgrammar.antrim.ni.sch.uk,
341-0297,Cambridge House Grammar School,1 CAMBRIDGE AVENUE,,,BALLYMENA,ANTRIM,BT42 2EH,028 2564 3151,Controlled,Grammar,Open,,info@cambridgehousegrammar.ballymena.ni.sch.uk,
342-0010,St Louis Grammar School,CULLYBACKEY ROAD,KINTULLAGH,,BALLYMENA,ANTRIM,BT43 5DW,028 2564 9534,Voluntary,Grammar,Open,,info@stlouisgrammar.ballymena.ni.sch.uk,
342-0011,Ballymena Academy,89 GALGORM ROAD,,,BALLYMENA,ANTRIM,BT42 1AJ,028 2565 2782,Voluntary,Grammar,Open,,info@balacademy.ballymena.ni.sch.uk,
342-0012,Dalriada School,ST JAMES ROAD,,,BALLYMONEY,ANTRIM,BT53 6BL,028 2766 3066,Voluntary,Grammar,Open,,info@dalriada.ballymoney.ni.sch.uk,
342-0034,Loreto College,CASTLEROCK ROAD,,,COLERAINE,LONDONDERRY,BT51 3JZ,028 7034 3611,Voluntary,Grammar,Open,,info@loretocollege.coleraine.ni.sch.uk,
342-0046,Larne Grammar School,LOWER CAIRNCASTLE ROAD,,,LARNE,ANTRIM,BT40 1PQ,028 2827 2791,Voluntary,Grammar,Open,,info@larnegrammar.larne.ni.sch.uk,
342-0058,Rainey Endowed School,79 RAINEY STREET,,,MAGHERAFELT,LONDONDERRY,BT45 5DB,028 7963 2478,Voluntary,Grammar,Open,,info@rainey.magherafelt.ni.sch.uk,
342-0068,Dominican College,2 STRAND ROAD,,,PORTSTEWART,LONDONDERRY,BT55 7PF,028 7083 2715,Voluntary,Grammar,Open,,info@dominican.portstewart.ni.sch.uk,
342-0077,Belfast High School,740 SHORE ROAD,,,NEWTOWNABBEY,ANTRIM,BT37 0PX,028 9086 4431,Voluntary,Grammar,Open,,info@belfasthigh.newtownabbey.ni.sch.uk,
342-0080,St Mary's Grammar School,3 CASTLEDAWSON ROAD,,,MAGHERAFELT,LONDONDERRY,BT45 6BE,028 7963 2320,Voluntary,Grammar,Open,,info@stmarys.magherafelt.ni.sch.uk,
342-0317,Coleraine Grammar,23-33 CASTLEROCK ROAD,,,COLERAINE,LONDONDERRY,BT51 3LA,028 7034 4331,Voluntary,Grammar,Open,,info@colerainegrammar.coleraine.ni.sch.uk,
401-0512,McKinney Primary School  Dundrod,3 LEATHENSTOWN ROAD,DUNDROD,,CRUMLIN,ANTRIM,BT29 4HX,028 9082 5375,Controlled,Primary,Open,,info@mckinneyps.crumlin.ni.sch.uk,
401-0720,Ballycarrickmaddy Primary School ,1A KILLULTAGH ROAD,BALLINDERRY UPPER,,LISBURN,ANTRIM,BT28 2NX,028 9264 8360,Controlled,Primary,Open,,info@ballycarrickmaddyps.lisburn.ni.sch.uk,
401-0743,Largymore Primary School ,HILLHALL ROAD,,,LISBURN,ANTRIM,BT27 5BT,028 9266 3773,Controlled,Primary,Open,,info@largymoreps.lisburn.ni.sch.uk,
401-0762,Brownlee Primary School ,WALLACE AVENUE,,,LISBURN,ANTRIM,BT27 4AA,028 9266 5635,Controlled,Primary,Open,,info@brownleeps.lisburn.ni.sch.uk,
401-0788,Dunmurry Primary School ,GLENBURN ROAD,DUNMURRY,,BELFAST,ANTRIM,BT17 9AN,028 9030 1454,Controlled,Primary,Open,,info@dunmurryps.belfast.ni.sch.uk,
401-0807,Lisburn Central Primary School ,52-56 HILLSBOROUGH ROAD,,,LISBURN,ANTRIM,BT28 1JJ,028 9266 5527,Controlled,Primary,Open,,info@centralps.lisburn.ni.sch.uk,
401-0882,Seymour Hill Primary School ,2C HAZEL AVENUE,DUNMURRY,,BELFAST,ANTRIM,BT17 9QX,028 9030 1046,Controlled,Primary,Open,,info@seymourhillps.lisburn.ni.sch.uk,
401-0885,Tonagh Primary School ,TONAGH AVENUE,,,LISBURN,ANTRIM,BT28 1DQ,028 9266 4491,Controlled,Primary,Open,,info@tonaghps.lisburn.ni.sch.uk,
401-1265,Ballyvester Primary School ,244 KILLAUGHEY ROAD,,,DONAGHADEE,DOWN,BT21 0NF,028 9188 2121,Controlled,Primary,Open,,info@ballyvesterps.donaghadee.ni.sch.uk,
401-1300,Grey Abbey Primary School ,3 THE SQUARE,GREYABBEY,,NEWTOWNARDS,DOWN,BT22 2QA,028 4278 8244,Controlled,Primary,Open,,info@greyabbeyps.newtownards.ni.sch.uk,
401-1310,Carrickmannon Primary School ,77 CARRICKMANNON ROAD,,,NEWTOWNARDS,DOWN,BT23 6JJ,028 9752 8713,Controlled,Primary,Open,,info@carrickmannonps.newtownards.ni.sch.uk,
401-1345,Newtownards Model Primary School ,SCRABO ROAD,,,NEWTOWNARDS,DOWN,BT23 4NW,028 9181 2113,Controlled,Primary,Open,,info@ardsmodelps.newtownards.ni.sch.uk,
401-1373,Kirkistown Primary School ,MAIN ROAD,CLOUGHEY,,NEWTOWNARDS,DOWN,BT22 1JA,028 4277 1455,Controlled,Primary,Open,,info@kirkistownps.newtownards.ni.sch.uk,
401-1462,Castle Gardens Primary School ,69 BOWTOWN ROAD,,,NEWTOWNARDS,DOWN,BT23 8SH,028 9181 3827,Controlled,Primary,Open,,info@castlegdns.newtownards.ni.sch.uk,
401-1488,Victoria Primary School (Ballyhalbert),2 VICTORIA ROAD,BALLYHALBERT,,NEWTOWNARDS,DOWN,BT22 1DQ,028 4275 8350,Controlled,Primary,Open,,info@vicpsballyhalbert.newtownards.ni.sch.uk,
401-1507,Portavogie Primary School ,NEW HARBOUR ROAD,PORTAVOGIE,,NEWTOWNARDS,DOWN,BT22 1EE,028 4277 1771,Controlled,Primary,Open,,info@portavogieps.newtownards.ni.sch.uk,
401-1566,Ballywalter Primary School ,12 STUMP ROAD,BALLYWALTER,,NEWTOWNARDS,DOWN,BT22 2NT,028 4275 8486,Controlled,Primary,Open,,info@ballywalterps.newtownards.ni.sch.uk,
401-1567,Ballynahinch Primary School ,CROOB PARK,,,BALLYNAHINCH,DOWN,BT24 8BB,028 9756 3171,Controlled,Primary,Open,,info@ballynahinchps.ballynahinch.ni.sch.uk,
401-1578,Derryboy Primary School ,20 MANSE ROAD,,,CROSSGAR,DOWN,BT30 9LY,028 4483 0849,Controlled,Primary,Open,,info@derryboyps.downpatrick.ni.sch.uk,
401-1584,Carr Primary School ,336 COMBER ROAD,,,LISBURN,ANTRIM,BT27 6TB,028 9263 8615,Controlled,Primary,Open,,info@carrps.lisburn.ni.sch.uk,
401-1587,Dundonald Primary School ,10 CHURCH GREEN,,,BELFAST,ANTRIM,BT16 2LP,028 9048 2680,Controlled,Primary,Open,,info@ddps.belfast.ni.sch.uk,
401-1588,Comber Primary School ,DARRAGH ROAD,COMBER,,NEWTOWNARDS,DOWN,BT23 5BX,028 9187 2197,Controlled,Primary,Open,,info@comberps.newtownards.ni.sch.uk,
401-1606,Gilnahirk Primary School ,148 GILNAHIRK ROAD,,,BELFAST,ANTRIM,BT5 7QQ ,028 9040 1697,Controlled,Primary,Open,,info@ghirkps.belfast.ni.sch.uk,
401-1608,Anahilt Primary School ,248 BALLYNAHINCH ROAD,,,HILLSBOROUGH,DOWN,BT26 6BP,028 9263 8557,Controlled,Primary,Open,,info@anahiltps.hillsborough.ni.sch.uk,
401-1619,Dromara Primary School ,36 HILLSBOROUGH ROAD,,,DROMARA,DOWN,BT25 2BL,028 9753 2875,Controlled,Primary,Open,,info@dromaraps.dromore.ni.sch.uk,
401-1631,Holywood Primary School ,HILLVIEW PLACE,,,HOLYWOOD,DOWN,BT18 9DL,028 9042 4272,Controlled,Primary,Open,,info@holywoodps.holywood.ni.sch.uk,
401-1632,Cregagh Primary School ,MOUNT MERRION AVENUE,,,BELFAST,ANTRIM,BT6 0FL ,028 9040 1246,Controlled,Primary,Open,,info@cregaghps.belfast.ni.sch.uk,
401-1645,Crawfordsburn Primary School ,4 COOTEHALL ROAD,CRAWFORDSBURN,,BANGOR,DOWN,BT19 1JA,028 9185 3813,Controlled,Primary,Open,,info@crawfordsburnps.bangor.ni.sch.uk,
401-1646,Victoria Primary School ,EAST STREET,,,NEWTOWNARDS,DOWN,BT23 7DD,028 9181 8783,Controlled,Primary,Open,,info@victoriaps.newtownards.ni.sch.uk,
401-1650,Ballyholme Primary School ,GLENBURN PARK,,,BANGOR,DOWN,BT20 5RG,028 9127 0392,Controlled,Primary,Open,,info@ballyholmeps.bangor.ni.sch.uk,
401-1654,Donaghadee Primary School ,NORTHFIELD ROAD,,,DONAGHADEE,DOWN,BT21 0BD,028 9188 3452,Controlled,Primary,Open,,info@donaghadeeps.newtownards.ni.sch.uk,
401-1657,Lisnasharragh Primary School ,TUDOR DRIVE,,,BELFAST,ANTRIM,BT6 9LS ,028 9040 1211,Controlled,Primary,Open,,info@lisps.belfast.ni.sch.uk,
401-1670,Clandeboye Primary School ,CLANDEBOYE ROAD,,,BANGOR,DOWN,BT20 3JW,028 9127 1730,Controlled,Primary,Open,,info@clandeboyeps.bangor.ni.sch.uk,
401-1674,Knockbreda Primary School ,WYNCHURCH ROAD,KNOCKBREDA,,BELFAST,ANTRIM,BT6 0JJ ,028 9040 1871,Controlled,Primary,Open,,info@knockbredaps.belfast.ni.sch.uk,
401-1681,Millisle Primary School ,ABBEY ROAD,MILLISLE,,NEWTOWNARDS,DOWN,BT22 2DD,028 9186 1471,Controlled,Primary,Open,,info@millisleps.newtownards.ni.sch.uk,
401-1683,Braniel Primary School ,RAVENSWOOD PARK,,,BELFAST,ANTRIM,BT5 7JU ,028 9040 1234,Controlled,Primary,Open,,info@branielps.belfast.ni.sch.uk,
401-1698,Newcastle Primary School ,SHIMNA ROAD,,,NEWCASTLE,DOWN,BT33 0AS,028 4372 2559,Controlled,Primary,Open,,info@newcastleps.newcastle.ni.sch.uk,
401-1699,Moneyrea Primary School ,36 CHURCH ROAD,MONEYREA,,NEWTOWNARDS,DOWN,BT23 6BB,028 9044 8443,Controlled,Primary,Open,,info@moneyreaps.newtownards.ni.sch.uk,
401-3013,Belvoir Park Primary School ,BELVOIR DRIVE,,,BELFAST,ANTRIM,BT8 7DL ,028 9049 1810,Controlled,Primary,Open,,info@belvoirps.belfast.ni.sch.uk,
401-3023,Bloomfield Primary School ,BLOOMFIELD ROAD SOUTH,,,BANGOR,DOWN,BT19 7PN,028 9127 1186,Controlled,Primary,Open,,info@bloomfieldps.bangor.ni.sch.uk,
401-3024,Cairnshill Primary School ,6A CAIRNSHILL DRIVE,,,BELFAST,ANTRIM,BT8 6RT ,028 9070 5122,Controlled,Primary,Open,,info@cairnshillps.belfast.ni.sch.uk,
401-3043,Leadhill Primary School,CASAELDONA PARK,,,BELFAST,ANTRIM,BT6  9RD,028 9040 1101,Controlled,Primary,Open,,info@leadhillps.belfast.ni.sch.uk,
401-3044,Carryduff Primary School ,KILLYNURE ROAD,CARRYDUFF,,BELFAST,ANTRIM,BT8 8EE ,028 9081 2918,Controlled,Primary,Open,,info@carryduffps.belfast.ni.sch.uk,
401-3045,Grange Park Primary School ,GRANGE PARK,,,BANGOR,DOWN,BT20 3QG,028 9127 1181,Controlled,Primary,Open,,info@grangeparkps.bangor.ni.sch.uk,
401-3046,Alexander Dickson Primary School ,COMBER ROAD,BALLYGOWAN,,NEWTOWNARDS,DOWN,BT23 5TN,028 9752 8651,Controlled,Primary,Open,,info@adps.newtownards.ni.sch.uk,
401-3305,Harmony Hill Primary School ,50 HARMONY HILL,,,LISBURN,ANTRIM,BT27 4ES,028 9266 4501,Controlled,Primary,Open,,info@harmonyhillps.lisburn.ni.sch.uk,
401-3334,Knockmore Primary School ,HERTFORD CRESCENT,,,LISBURN,ANTRIM,BT28 1SA,028 9266 2600,Controlled,Primary,Open,,info@knockmoreps.lisburn.ni.sch.uk,
401-6002,Kilcooley Primary School ,GANAWAY AVENUE,,,BANGOR,DOWN,BT19 1QS,028 9127 0140,Controlled,Primary,Open,,info@kilcooleyps.bangor.ni.sch.uk,
401-6004,Londonderry Primary School ,2A GLENBROOK ROAD,,,NEWTOWNARDS,DOWN,BT23 4EY,028 9181 4325,Controlled,Primary,Open,,info@lderryps.newtownards.ni.sch.uk,
401-6020,Carrowdore Primary School ,CASTLE PLACE,,,CARROWDORE,DOWN,BT22 2JJ,028 9186 2791,Controlled,Primary,Open,,info@carrowdoreps.newtownards.ni.sch.uk,
401-6067,Rathmore Primary School ,RATHMORE ROAD,,,BANGOR,DOWN,BT19 1DJ,028 9127 0399,Controlled,Primary,Open,,info@rathmoreps.bangor.ni.sch.uk,
401-6083,West Winds Primary School and Nursery Unit,SUNDERLAND PARK,,,NEWTOWNARDS,DOWN,BT23 4RQ,028 9181 5212,Controlled,Primary,Open,,info@westwindsps.newtownards.ni.sch.uk,
401-6104,Moira Primary School ,21 BACKWOOD ROAD,,,MOIRA,DOWN,BT67 0LJ,028 9261 1554,Controlled,Primary,Open,,info@moiraps.lisburn.ni.sch.uk,
401-6111,Towerview Primary School ,100 TOWERVIEW CRESCENT,,,BANGOR,DOWN,BT19 6AZ,028 9127 0480,Controlled,Primary,Open,,info@towerviewps.bangor.ni.sch.uk,
401-6123,Spa Primary School ,59 BALLYMAGLAVE ROAD,,,BALLYNAHINCH,DOWN,BT24 8QB,028 9756 3842,Controlled,Primary,Open,,info@spaps.ballynahinch.ni.sch.uk,
401-6126,Andrews Memorial Primary School ,4 BALLYGOWAN ROAD,COMBER,,NEWTOWNARDS,DOWN,BT23 5PG,028 9187 2075,Controlled,Primary,Open,,info@andrewsmemorialps.newtownards.ni.sch.uk,
401-6144,Old Warren Primary School ,147 DRUMBEG DRIVE,OLD WARREN,,LISBURN,ANTRIM,BT28 1QP,028 9267 9685,Controlled,Primary,Open,,info@oldwarrenps.lisburn.ni.sch.uk,
401-6145,Killowen Primary School ,20 LAURELHILL ROAD,,,LISBURN,ANTRIM,BT28 2UH,028 9266 2111,Controlled,Primary,Open,,info@killowenps.lisburn.ni.sch.uk,
401-6192,Kilmaine Primary School ,6 LYNDALE DRIVE,,,BANGOR,DOWN,BT19 6EF,028 9127 0893,Controlled,Primary,Open,,info@kilmaineps.bangor.ni.sch.uk,
401-6201,Academy Primary School ,194 LISTOODER ROAD,,,SAINTFIELD,DOWN,BT24 7JA,028 9751 0407,Controlled,Primary,Open,,info@academyps.ballynahinch.ni.sch.uk,
401-6202,Ballinderry Primary School ,8D CRUMLIN ROAD,BALLINDERRY,,LISBURN,ANTRIM,BT28 2BF,028 9265 1633,Controlled,Primary,Open,,info@ballinderryps.lisburn.ni.sch.uk,
401-6235,Downpatrick Primary School ,10 MOUNT CRESCENT,,,DOWNPATRICK,DOWN,BT30 6AF,028 4461 3934,Controlled,Primary,Open,,info@dps.downpatrick.ni.sch.uk,
401-6396,Killinchy Primary School ,MAIN STREET,KILLINCHY,,NEWTOWNARDS,DOWN,BT23 6PN,028 9754 1132,Controlled,Primary,Open,,info@killinchyps.newtownards.ni.sch.uk,
401-6399,Abbey Primary School ,90 MOVILLA ROAD,,,NEWTOWNARDS,DOWN,BT23 8RQ,028 9181 9141,Controlled,Primary,Open,,info@abbeyprimary.newtownards.ni.sch.uk,
